12/17/2012,32,10,42
12/18/2012,40,9,49
12/19/2012,39,5,44
12/20/2012,32,11,43
12/21/2012,36,10,46
12/22/2012,61,18,79
12/23/2012,37,22,59
12/24/2012,37,15,52
12/25/2012,34,9,43
12/26/2012,29,14,43
12/27/2012,37,25,62
12/28/2012,30,14,44
12/29/2012,49,23,72
12/30/2012,27,28,55
12/31/2012,31,35,66
1/1/2013,19,11,30
1/2/2013,21,28,49
1/3/2013,26,19,45
1/4/2013,21,18,39
1/5/2013,22,28,50
1/6/2013,21,41,62
1/7/2013,21,29,50
1/8/2013,17,26,43
1/9/2013,27,28,55
1/10/2013,25,28,53
1/11/2013,21,31,52
1/12/2013,34,50,84
1/13/2013,21,40,61
1/14/2013,11,35,46
1/15/2013,20,25,45
1/16/2013,22,34,56
1/17/2013,18,31,49
1/18/2013,20,32,52
1/19/2013,19,53,72
1/20/2013,26,43,69
1/21/2013,9,25,34
1/22/2013,10,31,41
1/23/2013,7,40,47
1/24/2013,11,44,55
1/25/2013,12,46,58
1/26/2013,16,78,94
1/27/2013,13,57,70
1/28/2013,8,39,47
1/29/2013,13,42,55
1/30/2013,10,67,77
1/31/2013,22,70,92
2/1/2013,16,48,64
2/2/2013,14,61,75
2/3/2013,13,64,77
2/4/2013,8,39,47
2/5/2013,11,42,53
2/6/2013,7,34,41
2/7/2013,6,32,38
2/8/2013,3,22,25
2/9/2013,0,6,6
2/10/2013,0,2,2
2/11/2013,1,2,3
2/12/2013,0,5,5
2/13/2013,0,3,3
2/14/2013,2,7,9
2/15/2013,1,6,7
2/16/2013,4,14,18
2/17/2013,3,10,13
2/18/2013,3,15,18
2/19/2013,7,24,31
2/20/2013,2,17,19
2/21/2013,4,22,26
2/22/2013,8,35,43
2/23/2013,13,47,60
2/24/2013,7,23,30
2/25/2013,13,30,43
2/26/2013,20,20,40
2/27/2013,17,24,41
2/28/2013,44,51,95
3/1/2013,28,19,47
3/2/2013,33,30,63
3/3/2013,22,25,47
3/4/2013,21,16,37
3/5/2013,24,12,36
3/6/2013,21,18,39
3/7/2013,21,18,39
3/8/2013,29,15,44
3/9/2013,32,15,47
3/10/2013,33,15,48
3/11/2013,21,19,40
3/12/2013,33,10,43
3/13/2013,25,5,30
3/14/2013,33,7,40
3/15/2013,29,6,35
3/16/2013,44,10,54
3/17/2013,32,13,45
3/18/2013,17,5,22
3/19/2013,35,11,46
3/20/2013,25,8,33
3/21/2013,32,11,43
3/22/2013,49,9,58
3/23/2013,38,16,54
3/24/2013,44,8,52
3/25/2013,22,10,32
3/26/2013,33,5,38
3/27/2013,22,6,28
3/28/2013,30,5,35
3/29/2013,25,8,33
3/30/2013,39,10,49
3/31/2013,45,6,51
4/1/2013,31,7,38
4/2/2013,38,10,48
4/3/2013,25,10,35
4/4/2013,32,9,41
4/5/2013,20,7,27
4/6/2013,35,11,46
4/7/2013,20,5,25
4/8/2013,34,9,43
4/9/2013,36,9,45
4/10/2013,23,11,34
4/11/2013,42,9,51
4/12/2013,51,6,57
4/13/2013,39,15,54
4/14/2013,36,7,43
4/15/2013,22,8,30
4/16/2013,33,7,40
4/17/2013,32,10,42
4/18/2013,27,6,33
4/19/2013,35,7,42
4/20/2013,37,12,49
4/21/2013,41,4,45
4/22/2013,32,4,36
4/23/2013,48,6,54
4/24/2013,35,13,48
4/25/2013,27,2,29
4/26/2013,43,3,46
4/27/2013,32,10,42
4/28/2013,53,3,56
4/29/2013,48,2,50
4/30/2013,35,6,41
5/1/2013,33,3,36
5/2/2013,34,0,34
5/3/2013,31,6,37
5/4/2013,50,2,52
5/5/2013,44,2,46
5/6/2013,34,1,35
5/7/2013,40,8,48
5/8/2013,28,2,30
5/9/2013,32,3,35
5/10/2013,21,7,28
5/11/2013,50,7,57
5/12/2013,46,4,50
5/13/2013,35,2,37
5/14/2013,39,5,44
5/15/2013,27,3,30
5/16/2013,33,2,35
5/17/2013,34,4,38
5/18/2013,36,5,41
5/19/2013,37,4,41
5/20/2013,27,3,30
5/21/2013,39,1,40
5/22/2013,32,3,35
5/23/2013,35,2,37
5/24/2013,43,1,44
5/25/2013,60,3,63
5/26/2013,47,4,51
5/27/2013,55,4,59
5/28/2013,47,2,49
5/29/2013,80,2,82
5/30/2013,68,3,71
5/31/2013,60,5,65
6/1/2013,61,2,63
6/2/2013,66,2,68
6/3/2013,36,8,44
6/4/2013,36,2,38
6/5/2013,65,1,66
6/6/2013,55,14,69
6/7/2013,47,6,53
6/8/2013,52,3,55
6/9/2013,51,3,54
6/10/2013,59,3,62
6/11/2013,45,2,47
6/12/2013,32,3,35
6/13/2013,43,6,49
6/14/2013,62,1,63
6/15/2013,73,3,76
6/16/2013,61,3,64
6/17/2013,40,3,43
6/18/2013,48,2,50
6/19/2013,36,4,40
6/20/2013,47,0,47
6/21/2013,32,2,34
6/22/2013,65,3,68
6/23/2013,72,5,77
6/24/2013,24,0,24
6/25/2013,55,3,58
6/26/2013,46,3,49
6/27/2013,49,1,50
6/28/2013,50,1,51
6/29/2013,60,4,64
6/30/2013,71,3,74
7/1/2013,29,7,36
7/2/2013,37,0,37
7/3/2013,37,4,41
7/4/2013,31,1,32
7/5/2013,58,0,58
7/6/2013,50,2,52
7/7/2013,43,6,49
7/8/2013,34,5,39
7/9/2013,34,1,35
7/10/2013,35,1,36
7/11/2013,43,0,43
7/12/2013,33,1,34
7/13/2013,54,3,57
7/14/2013,45,3,48
7/15/2013,23,1,24
7/16/2013,43,1,44
7/17/2013,40,2,42
7/18/2013,42,2,44
7/19/2013,42,2,44
7/20/2013,65,5,70
7/21/2013,56,2,58
7/22/2013,30,1,31
7/23/2013,33,3,36
7/24/2013,31,1,32
7/25/2013,32,0,32
7/26/2013,40,0,40
7/27/2013,46,3,49
7/28/2013,46,4,50
7/29/2013,25,3,28
7/30/2013,30,1,31
7/31/2013,49,2,51
